created_at,text,entities
2021-02-19 21:35:09+00:00,"It wasn’t enough to get The Muppet Show on #DisneyPlus, @TheMuppets also had to take over five of our Originals. (5… https://t.co/qsF4OM9yrg","{'hashtags': [{'text': 'DisneyPlus', 'indices': [43, 54]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TheMuppets', 'name': 'The Muppets', 'id': 78767466, 'id_str': '78767466', 'indices': [56, 67]}], 'urls': [{'url': 'https://t.co/qsF4OM9yrg', 'expanded_url': 'https://twitter.com/i/web/status/1362878411983659008', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-19 21:35:07+00:00,"It wasn’t enough to get The Muppet Show on #DisneyPlus, @TheMuppets also had to take over five of our Originals. (4… https://t.co/E7R8HjyyBO","{'hashtags': [{'text': 'DisneyPlus', 'indices': [43, 54]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TheMuppets', 'name': 'The Muppets', 'id': 78767466, 'id_str': '78767466', 'indices': [56, 67]}], 'urls': [{'url': 'https://t.co/E7R8HjyyBO', 'expanded_url': 'https://twitter.com/i/web/status/1362878406254202880', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-19 21:35:06+00:00,"It wasn’t enough to get The Muppet Show on #DisneyPlus, @TheMuppets also had to take over five of our Originals. (3… https://t.co/lkbsCpP7IH","{'hashtags': [{'text': 'DisneyPlus', 'indices': [43, 54]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TheMuppets', 'name': 'The Muppets', 'id': 78767466, 'id_str': '78767466', 'indices': [56, 67]}], 'urls': [{'url': 'https://t.co/lkbsCpP7IH', 'expanded_url': 'https://twitter.com/i/web/status/1362878400533176323', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-19 21:35:05+00:00,"It wasn’t enough to get The Muppet Show on #DisneyPlus, @TheMuppets also had to take over five of our Originals. (2… https://t.co/HxRNTzrTdm","{'hashtags': [{'text': 'DisneyPlus', 'indices': [43, 54]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TheMuppets', 'name': 'The Muppets', 'id': 78767466, 'id_str': '78767466', 'indices': [56, 67]}], 'urls': [{'url': 'https://t.co/HxRNTzrTdm', 'expanded_url': 'https://twitter.com/i/web/status/1362878395550343168', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-19 21:35:03+00:00,"It wasn’t enough to get The Muppet Show on #DisneyPlus, @TheMuppets also had to take over five of our Originals. (1… https://t.co/NQXl2NANCE","{'hashtags': [{'text': 'DisneyPlus', 'indices': [43, 54]}], 'symbols': [], 'user_mentions': [{'screen_name': 'TheMuppets', 'name': 'The Muppets', 'id': 78767466, 'id_str': '78767466', 'indices': [56, 67]}], 'urls': [{'url': 'https://t.co/NQXl2NANCE', 'expanded_url': 'https://twitter.com/i/web/status/1362878389963554817', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-19 19:44:32+00:00,@EW This is the YAAAAY!!!,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EW', 'name': 'Entertainment Weekly', 'id': 16312576, 'id_str': '16312576', 'indices': [0, 3]}], 'urls': []}"
2021-02-19 19:00:00+00:00,Where do we start? 💥 Start streaming @MarvelStudios' The Falcon and the Winter Soldier on #DisneyPlus in ONE month.… https://t.co/XKcBFAVGXv,"{'hashtags': [{'text': 'DisneyPlus', 'indices': [90, 101]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [37, 51]}], 'urls': [{'url': 'https://t.co/XKcBFAVGXv', 'expanded_url': 'https://twitter.com/i/web/status/1362839369413840897', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-19 17:00:02+00:00,Why don’t we *finally* get things started?! All five seasons of #TheMuppetShow are now streaming on #DisneyPlus! https://t.co/7cr0qiAj9G,"{'hashtags': [{'text': 'TheMuppetShow', 'indices': [64, 78]}, {'text': 'DisneyPlus', 'indices': [100, 111]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1362516034691850242, 'id_str': '1362516034691850242', 'indices': [113, 136], 'media_url': 'http://pbs.twimg.com/media/EumqV89VcAA6_cS.png', 'media_url_https': 'https://pbs.twimg.com/media/EumqV89VcAA6_cS.png', 'url': 'https://t.co/7cr0qiAj9G', 'display_url': 'pic.twitter.com/7cr0qiAj9G', 'expanded_url': 'https://twitter.com/disneyplus/status/1362809179514101762/video/1', 'type': 'photo', 'sizes': {'small': {'w': 600, 'h': 600, 'resize': 'fit'}, 'large': {'w': 600, 'h': 600, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 600, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}}]}"
2021-02-19 16:29:46+00:00,Low key already obsessed with this super squirrel 🐿 ⚡ 💥  #FloraAndUlysses is now streaming on #DisneyPlus! https://t.co/LWjFvnLM1g,"{'hashtags': [{'text': 'FloraAndUlysses', 'indices': [57, 73]}, {'text': 'DisneyPlus', 'indices': [94, 105]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1362568059018301440, 'id_str': '1362568059018301440', 'indices': [107, 130], 'media_url': 'http://pbs.twimg.com/media/EujSjbKVgAMAkxZ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EujSjbKVgAMAkxZ.jpg', 'url': 'https://t.co/LWjFvnLM1g', 'display_url': 'pic.twitter.com/LWjFvnLM1g', 'expanded_url': 'https://twitter.com/disneyplus/status/1362801563295645696/video/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 679, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 1199, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1660, 'h': 1662, 'resize': 'fit'}}, 'source_user_id': 36947388, 'source_user_id_str': '36947388'}]}"
2021-02-19 14:00:02+00:00,Are you even READY? The seventh episode of @MarvelStudios' #WandaVision is now streaming on #DisneyPlus. https://t.co/JGKUvtQ7ps,"{'hashtags': [{'text': 'WandaVision', 'indices': [59, 71]}, {'text': 'DisneyPlus', 'indices': [92, 103]}], 'symbols': [], 'user_mentions': [{'screen_name': 'MarvelStudios', 'name': 'Marvel Studios', 'id': 750751206427860992, 'id_str': '750751206427860992', 'indices': [43, 57]}], 'urls': [], 'media': [{'id': 1362497073472397315, 'id_str': '1362497073472397315', 'indices': [105, 128], 'media_url': 'http://pbs.twimg.com/media/EuiQRYxU4AINYP0.png', 'media_url_https': 'https://pbs.twimg.com/media/EuiQRYxU4AINYP0.png', 'url': 'https://t.co/JGKUvtQ7ps', 'display_url': 'pic.twitter.com/JGKUvtQ7ps', 'expanded_url': 'https://twitter.com/disneyplus/status/1362763878942187520/video/1', 'type': 'photo', 'sizes': {'small': {'w': 600, 'h': 600, 'resize': 'fit'}, 'large': {'w': 600, 'h': 600, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 600, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'source_user_id': 1162472272214581250, 'source_user_id_str': '1162472272214581250'}]}"
