Date Collected,Count
9/2/2021,137933
10/2/2021,143860
11/2/2021,145141
12/2/2021,145746
13/2/2021,146040
14/2/2021,146238
15/2/2021,146494
16/2/2021,146737
17/2/2021,147005
18/2/2021,147240
19/2/2021,147436
20/2/2021,147694
21/2/2021,147962
22/2/2021,148212
23/2/2021,148480
