created_at,entities
2021-02-09 19:16:21+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FXDocs', 'name': 'FX Documentaries', 'id': 1226978646620983296, 'id_str': '1226978646620983296', 'indices': [0, 7]}, {'screen_name': 'FXNetworks', 'name': 'FX Networks', 'id': 16421962, 'id_str': '16421962', 'indices': [8, 19]}], 'urls': []}"
2021-02-09 19:16:32+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EW', 'name': 'Entertainment Weekly', 'id': 16312576, 'id_str': '16312576', 'indices': [3, 6]}], 'urls': [{'url': 'https://t.co/UzXxYx6I38', 'expanded_url': 'https://ew.com/tv/cynthia-erivo-aretha-franklin-genius-aretha-trailer/?utm_campaign=entertainmentweekly_entertainmentweekly&utm_content=new&utm_medium=social&utm_source=twitter.com&utm_term=6022d34436c4600001d30e13', 'display_url': 'ew.com/tv/cynthia-eri…', 'indices': [93, 116]}]}"
2021-02-09 19:16:45+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'USvsBillie', 'name': 'The U.S. vs. Billie Holiday', 'id': 1165251197596557312, 'id_str': '1165251197596557312', 'indices': [0, 11]}, {'screen_name': 'nlyonne', 'name': 'natasha lyonne', 'id': 1901546563, 'id_str': '1901546563', 'indices': [12, 20]}, {'screen_name': 'AndraDayMusic', 'name': 'Andra Day', 'id': 815537202, 'id_str': '815537202', 'indices': [21, 35]}], 'urls': []}"
2021-02-09 19:17:09+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'thekrissychula', 'name': 'Satan’s Niece', 'id': 116122809, 'id_str': '116122809', 'indices': [0, 15]}], 'urls': []}"
2021-02-09 20:51:43+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'JackeeHarry', 'name': 'Jackée Harry', 'id': 299448712, 'id_str': '299448712', 'indices': [0, 12]}], 'urls': []}"
2021-02-09 21:38:08+00:00,"{'hashtags': [{'text': 'NationalPizzaDay', 'indices': [33, 50]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1359255258921394177, 'id_str': '1359255258921394177', 'indices': [51, 74], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Et0LdNMXYAE3QUY.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Et0LdNMXYAE3QUY.jpg', 'url': 'https://t.co/yhgsS7RKwh', 'display_url': 'pic.twitter.com/yhgsS7RKwh', 'expanded_url': 'https://twitter.com/hulu/status/1359255284494008322/photo/1', 'type': 'photo', 'sizes': {'medium': {'w': 500, 'h': 220, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 500, 'h': 220, 'resize': 'fit'}, 'large': {'w': 500, 'h': 220, 'resize': 'fit'}}}]}"
2021-02-09 21:48:58+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TwitterMovies', 'name': 'Twitter Movies', 'id': 436266454, 'id_str': '436266454', 'indices': [0, 14]}], 'urls': [], 'media': [{'id': 1359257942420201473, 'id_str': '1359257942420201473', 'indices': [28, 51], 'media_url': 'http://pbs.twimg.com/media/Et0N5aAVoAEveaX.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Et0N5aAVoAEveaX.jpg', 'url': 'https://t.co/XlFybg03l0', 'display_url': 'pic.twitter.com/XlFybg03l0', 'expanded_url': 'https://twitter.com/hulu/status/1359258014050447360/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 477, 'resize': 'fit'}, 'large': {'w': 768, 'h': 539, 'resize': 'fit'}, 'medium': {'w': 768, 'h': 539, 'resize': 'fit'}}}]}"
2021-02-09 21:51:18+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'pen15show', 'name': 'PEN15show', 'id': 1049720926256787456, 'id_str': '1049720926256787456', 'indices': [0, 10]}], 'urls': [], 'media': [{'id': 1359258595225870341, 'id_str': '1359258595225870341', 'indices': [21, 44], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Et0OfZ5VoAUrh3D.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Et0OfZ5VoAUrh3D.jpg', 'url': 'https://t.co/kh6sHDsTTT', 'display_url': 'pic.twitter.com/kh6sHDsTTT', 'expanded_url': 'https://twitter.com/hulu/status/1359258600527388678/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 500, 'h': 280, 'resize': 'fit'}, 'small': {'w': 500, 'h': 280, 'resize': 'fit'}, 'medium': {'w': 500, 'h': 280, 'resize': 'fit'}}}]}"
2021-02-09 22:55:37+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FXNetworks', 'name': 'FX Networks', 'id': 16421962, 'id_str': '16421962', 'indices': [0, 11]}], 'urls': [], 'media': [{'id': 1359274778008330241, 'id_str': '1359274778008330241', 'indices': [35, 58], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/Et0dNXdVoAEIKwf.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/Et0dNXdVoAEIKwf.jpg', 'url': 'https://t.co/mlXjgQa889', 'display_url': 'pic.twitter.com/mlXjgQa889', 'expanded_url': 'https://twitter.com/hulu/status/1359274783251202048/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 480, 'h': 362, 'resize': 'fit'}, 'small': {'w': 480, 'h': 362, 'resize': 'fit'}, 'medium': {'w': 480, 'h': 362, 'resize': 'fit'}}}]}"
2021-02-09 23:05:35+00:00,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PrimeVideo', 'name': 'Prime Video', 'id': 17220817, 'id_str': '17220817', 'indices': [0, 11]}], 'urls': []}"
