Date Collected,Count
9/2/2021,25721
10/2/2021,25832
11/2/2021,25956
12/2/2021,26188
13/2/2021,26267
14/2/2021,26384
15/2/2021,26491
16/2/2021,26504
17/2/2021,26612
18/2/2021,26727
19/2/2021,26822
20/2/2021,26974
21/2/2021,27204
22/2/2021,27333
