created_at,text,entities
2021-02-10 12:02:13+00:00,"Hi @NetflixMY !! First of all, big fan i watch u everyday. Im just wondering, will there ever be a chance the Harry… https://t.co/OkNhs7dvxj","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [3, 13]}], 'urls': [{'url': 'https://t.co/OkNhs7dvxj', 'expanded_url': 'https://twitter.com/i/web/status/1359472738776141829', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-10 12:02:11+00:00,@NetflixMY Any idea when Peaky Blinders streaming?,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 12:02:11+00:00,@NetflixMY Kejap je pakai bahasa,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 12:02:05+00:00,"@FaizHyo @NetflixMY Wuuu tp kalau storyline sama bosan ah, dh la pelakon lain.. Harap2 best lohhh","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FaizHyo', 'name': 'Faiz Muhamad★彡', 'id': 181021302, 'id_str': '181021302', 'indices': [0, 8]}, {'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [9, 19]}], 'urls': []}"
2021-02-10 12:01:53+00:00,@NetflixMY *tumpang tanya,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 12:01:40+00:00,"@NetflixMY tumpangnya , kenapa Pretty Little Liars tiada dalam Netflix dah ?","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 12:01:31+00:00,@NetflixMY acah mat Salleh,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 12:01:19+00:00,"If anyone in the mood to learn a bit about Coronavirus, it’s vaccine and how to cope in this pandemic, Vox has prod… https://t.co/KhOy6YnPDN","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/KhOy6YnPDN', 'expanded_url': 'https://twitter.com/i/web/status/1359472513084837894', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}"
2021-02-10 12:01:05+00:00,"@NetflixMY Min, tlg masukkan movie inseparable bros","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 12:00:39+00:00,@NetflixMY bahasa melayu la nanti orang kecam,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}], 'urls': []}"
2021-02-10 11:59:39+00:00,@NetflixMY @cazzrah Salam kenapa pretty little liars dipadamkan di netflix ??,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NetflixMY', 'name': 'Netflix Malaysia', 'id': 4444965133, 'id_str': '4444965133', 'indices': [0, 10]}, {'screen_name': 'cazzrah', 'name': 'Baby Rah', 'id': 1481518028, 'id_str': '1481518028', 'indices': [11, 19]}], 'urls': []}"
