Date Collected,Count
09/02/2021,2004766
10/02/2021,2009163
11/02/2021,2015550
12/02/2021,2018411
13/02/2021,2022586
14/02/2021,2028878
15/02/2021,2031695
16/02/2021,2034882
17/02/2021,2037547
18/02/2021,2040216
19/02/2021,2044227
20/02/2021,2046738
21/02/2021,2049088
22/02/2021,2051791
23/02/2021,2054929
